gndr,prsnt_age,cprtn_prd_d,accnt_status,pnsn_age,prvs_npf,rgn,assgn_npo,assgn_ops
0.0,0.32258064516129026,2.1719513614465087,0.0,0.40000000000000036,0.0,0.0392156862745098,0.0,0.0
0.0,0.25806451612903225,0.22190091274685178,0.0,0.5,1.0,0.9313725490196079,0.0,0.0
0.0,0.27419354838709675,3.905138300405515,0.0,0.5,1.0,0.4803921568627451,0.0,0.0
1.0,0.29032258064516125,4.903398900798985,0.0,1.0,0.0,0.4411764705882353,0.0,0.0
0.0,0.4516129032258064,0.149613076166635,1.0,0.0,1.0,0.5784313725490196,0.0,0.0
0.0,0.35483870967741926,0.09453662924837462,1.0,0.10000000000000053,1.0,0.23529411764705882,0.0,0.0
1.0,0.4677419354838709,-0.4131993657793383,1.0,0.5,1.0,0.696078431372549,0.0,0.0
0.0,0.4354838709677419,0.032575626465331686,1.0,0.0,1.0,0.4411764705882353,0.0,0.0
1.0,0.5483870967741934,-0.3839400033540125,1.0,0.5,1.0,0.09803921568627451,0.0,0.0
1.0,0.30645161290322576,2.62116863162357,0.0,1.0,1.0,0.9215686274509803,0.0,0.0
1.0,0.29032258064516125,2.1633456666155304,0.0,1.0,1.0,0.3333333333333333,0.0,0.0
0.0,0.4516129032258064,-0.39082455921879505,1.0,0.0,1.0,0.7745098039215687,0.0,0.0
0.0,0.4193548387096774,-0.21526838466684006,1.0,0.0,1.0,0.39215686274509803,0.0,0.0
0.0,0.32258064516129026,0.07216182268783133,0.0,0.40000000000000036,1.0,0.39215686274509803,0.0,0.0
0.0,0.4354838709677419,1.325150990078255,1.0,0.0,1.0,0.4411764705882353,0.0,0.0
0.0,0.4354838709677419,-0.39082455921879505,1.0,0.0,0.0,0.13725490196078433,0.0,0.0
0.0,0.32258064516129026,1.8638674864974896,0.0,0.40000000000000036,1.0,0.3627450980392157,0.0,0.0
1.0,0.4354838709677419,-0.3598440578272736,1.0,0.6000000000000005,1.0,0.10784313725490197,0.0,0.0
0.0,0.32258064516129026,4.951590791852462,0.0,0.40000000000000036,1.0,0.5294117647058824,0.0,0.0
0.0,0.29032258064516125,2.2356335031957473,0.0,0.5,1.0,0.3333333333333333,0.0,0.0
0.0,0.27419354838709675,1.8397715409707505,0.0,0.5,1.0,0.0196078431372549,0.0,0.0
1.0,0.4999999999999999,-0.34951722403009977,1.0,0.5,1.0,0.4215686274509804,0.0,0.0
1.0,0.4354838709677419,-0.2858350822808612,1.0,0.6000000000000005,1.0,0.09803921568627451,0.0,0.0
0.0,0.4677419354838709,-0.2703448315851004,1.0,0.0,1.0,0.49019607843137253,0.0,0.0
0.0,0.30645161290322576,5.605623599006805,0.0,0.5,1.0,0.6568627450980392,0.0,0.0
0.0,0.3870967741935484,-0.03454879321629816,1.0,0.0,1.0,0.696078431372549,0.0,0.0
0.0,0.4677419354838709,-0.3787765864554256,1.0,0.0,1.0,0.18627450980392157,0.0,0.0
0.0,0.3870967741935484,-0.4028725319821645,1.0,0.0,1.0,0.5980392156862745,0.0,0.0
1.0,0.29032258064516125,6.326780825842777,0.0,1.0,1.0,0.3627450980392157,0.0,0.0
0.0,0.32258064516129026,7.543626074943092,0.0,0.40000000000000036,1.0,0.5686274509803921,0.0,0.0
1.0,0.29032258064516125,0.6693970439577174,0.0,1.0,1.0,0.3431372549019608,0.0,0.0
1.0,0.19354838709677413,2.146134276953574,0.0,1.0,1.0,0.4803921568627451,0.0,0.0
1.0,0.4999999999999999,-0.3237001395371652,1.0,0.5,1.0,0.9313725490196079,0.0,0.0
0.0,0.32258064516129026,8.311254053866346,0.0,0.40000000000000036,1.0,0.39215686274509803,0.0,0.0
0.0,0.3870967741935484,-0.40115139301596886,1.0,0.0,0.0,0.7254901960784313,0.0,0.0
0.0,0.24193548387096764,4.400826322669858,0.0,0.5,1.0,0.6764705882352942,0.0,0.0
0.0,0.3709677419354839,2.738206081324873,0.0,0.0,1.0,0.12745098039215685,0.0,0.0
1.0,0.25806451612903225,0.36991886383967654,0.0,1.0,1.0,0.5,0.0,0.0
0.0,0.4032258064516129,0.12207485270750482,1.0,0.0,1.0,0.3431372549019608,0.0,0.0
0.0,0.4677419354838709,-0.17912446637673168,1.0,0.0,0.0,0.8431372549019608,0.0,0.0
0.0,0.22580645161290314,4.848322453880725,0.0,0.5,1.0,0.13725490196078433,0.0,0.0
0.0,0.4193548387096774,-0.37361316955683865,1.0,0.0,0.0,0.7254901960784313,0.0,0.0
0.0,0.29032258064516125,6.018696950893758,0.0,0.5,1.0,0.3431372549019608,0.0,0.0
0.0,0.4677419354838709,-0.1894513001739055,1.0,0.0,1.0,0.12745098039215685,0.0,0.0
